Date: 07-04 at 21:49:04, iter: 114, fix: false, local: true, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1343.39(11) mean: 1692.20, max: 3683.99
Date: 07-04 at 21:50:27, iter: 115, fix: false, local: true, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1343.39(11) mean: 1616.42, max: 3102.21
Date: 07-04 at 21:51:57, iter: 116, fix: false, local: true, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1343.39(11) mean: 1442.99, max: 1636.44
Date: 07-04 at 21:53:25, iter: 117, fix: false, local: true, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1343.39(11) mean: 1429.85, max: 1624.02
Date: 07-04 at 21:55:00, iter: 118, fix: false, local: true, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1343.39(11) mean: 1434.02, max: 1607.81
Date: 07-04 at 21:56:47, iter: 119, fix: false, local: true, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1343.39(11) mean: 1420.84, max: 1585.21
Date: 07-04 at 21:58:15, iter: 120, fix: false, local: true, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1343.39(11) mean: 1408.37, max: 1549.31
Date: 07-04 at 21:59:24, iter: 121, fix: false, local: true, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1343.39(11) mean: 1400.64, max: 1563.35
Date: 07-04 at 22:00:49, iter: 122, fix: false, local: true, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1343.39(11) mean: 1363.53, max: 1449.74
Date: 07-04 at 22:02:23, iter: 123, fix: false, local: true, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1338.76(11) mean: 1365.78, max: 1457.46
Date: 07-04 at 22:03:38, iter: 124, fix: false, local: true, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1338.76(11) mean: 1366.34, max: 1423.45
Date: 07-04 at 22:05:08, iter: 125, fix: false, local: true, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1332.41(10) mean: 1342.25, max: 1387.74
Date: 07-04 at 22:06:34, iter: 126, fix: false, local: true, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1332.41(10) mean: 1339.98, max: 1388.65
Date: 07-04 at 22:08:09, iter: 127, fix: false, local: true, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1332.41(10) mean: 1338.66, max: 1388.65
Date: 07-04 at 22:09:42, iter: 128, fix: false, local: true, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1332.41(10) mean: 1337.85, max: 1388.65
Date: 07-04 at 22:10:55, iter: 129, fix: false, local: true, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1332.41(10) mean: 1337.85, max: 1388.65
Date: 07-04 at 22:12:20, iter: 130, fix: false, local: true, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1332.41(10) mean: 1343.17, max: 1424.39
Date: 07-04 at 22:13:51, iter: 131, fix: false, local: true, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1332.41(10) mean: 1336.27, max: 1377.52
Date: 07-04 at 22:15:24, iter: 132, fix: false, local: true, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1332.41(10) mean: 1336.16, max: 1377.52
Date: 07-04 at 22:16:55, iter: 133, fix: false, local: true, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1332.41(10) mean: 1333.15, max: 1343.60
Date: 07-04 at 22:18:25, iter: 134, fix: false, local: true, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1332.41(10) mean: 1334.62, max: 1365.58
Date: 07-04 at 22:19:50, iter: 135, fix: false, local: true, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1332.41(10) mean: 1336.65, max: 1396.03
Date: 07-04 at 22:21:24, iter: 136, fix: false, local: true, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1332.41(10) mean: 1333.50, max: 1348.76
Date: 07-04 at 22:22:36, iter: 137, fix: false, local: true, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1332.41(10) mean: 1333.19, max: 1344.16
Date: 07-04 at 22:24:04, iter: 138, fix: false, local: true, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1332.41(10) mean: 1333.50, max: 1348.76
Date: 07-04 at 22:25:43, iter: 139, fix: false, local: true, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1332.41(10) mean: 1333.19, max: 1344.16
Date: 07-04 at 22:27:13, iter: 140, fix: false, local: true, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1332.41(10) mean: 1333.19, max: 1344.16
Date: 07-04 at 22:28:27, iter: 141, fix: false, local: true, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1332.41(10) mean: 1333.19, max: 1344.16
Date: 07-04 at 22:30:05, iter: 142, fix: false, local: true, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1332.41(10) mean: 1333.19, max: 1344.16
Date: 07-04 at 22:31:38, iter: 143, fix: false, local: true, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1332.41(10) mean: 1333.19, max: 1344.16
Date: 07-04 at 22:33:10, iter: 144, fix: false, local: true, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1332.41(10) mean: 1333.50, max: 1348.76
Date: 07-04 at 22:34:45, iter: 145, fix: false, local: true, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1332.41(10) mean: 1333.19, max: 1344.16
Date: 07-04 at 22:36:14, iter: 146, fix: false, local: true, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1332.41(10) mean: 1333.19, max: 1344.16
Date: 07-04 at 22:37:51, iter: 147, fix: false, local: true, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1332.41(10) mean: 1333.10, max: 1342.83
Date: 07-04 at 22:39:26, iter: 148, fix: false, local: true, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1332.41(10) mean: 1333.10, max: 1342.83
Date: 07-04 at 22:41:00, iter: 149, fix: false, local: true, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1332.41(10) mean: 1333.10, max: 1342.83
Date: 07-04 at 22:42:19, iter: 150, fix: false, local: true, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1332.41(10) mean: 1333.10, max: 1342.83
Date: 07-04 at 22:43:54, iter: 151, fix: false, local: true, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1332.41(10) mean: 1333.10, max: 1342.83
Date: 07-04 at 22:45:22, iter: 152, fix: false, local: true, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1332.41(10) mean: 1333.41, max: 1347.43
Date: 07-04 at 22:46:55, iter: 153, fix: false, local: true, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1332.41(10) mean: 1333.10, max: 1342.83
Date: 07-04 at 22:48:12, iter: 154, fix: false, local: true, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1332.41(10) mean: 1333.10, max: 1342.83
Date: 07-04 at 22:49:48, iter: 155, fix: false, local: true, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1332.41(10) mean: 1333.10, max: 1342.83
Date: 07-04 at 22:51:00, iter: 156, fix: false, local: true, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1332.41(10) mean: 1333.10, max: 1342.83
