Date: 07-04 at 08:38:58, iter: 98, fix: false, local: false, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1412.35(12) mean: 1580.99, max: 1916.84
Date: 07-04 at 08:40:26, iter: 99, fix: false, local: false, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1412.35(12) mean: 1475.11, max: 1598.15
Date: 07-04 at 08:41:52, iter: 100, fix: false, local: false, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1412.35(12) mean: 1483.23, max: 1631.04
Date: 07-04 at 08:43:09, iter: 101, fix: false, local: false, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1412.35(12) mean: 1482.44, max: 1657.40
Date: 07-04 at 08:44:28, iter: 102, fix: false, local: false, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1412.35(12) mean: 1481.84, max: 1659.21
Date: 07-04 at 08:45:49, iter: 103, fix: false, local: false, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1412.35(12) mean: 1493.53, max: 1672.51
Date: 07-04 at 08:47:03, iter: 104, fix: false, local: false, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1412.35(12) mean: 1468.26, max: 1589.70
Date: 07-04 at 08:48:19, iter: 105, fix: false, local: false, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1412.35(12) mean: 1447.85, max: 1544.50
Date: 07-04 at 08:49:30, iter: 106, fix: false, local: false, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1412.35(12) mean: 1472.05, max: 1599.02
Date: 07-04 at 08:50:55, iter: 107, fix: false, local: false, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1412.35(12) mean: 1450.69, max: 1535.17
Date: 07-04 at 08:52:16, iter: 108, fix: false, local: false, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1412.35(12) mean: 1446.62, max: 1534.32
Date: 07-04 at 08:53:33, iter: 109, fix: false, local: false, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1412.35(12) mean: 1446.84, max: 1534.32
Date: 07-04 at 08:54:51, iter: 110, fix: false, local: false, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1412.35(12) mean: 1446.62, max: 1534.32
Date: 07-04 at 08:56:18, iter: 111, fix: false, local: false, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1412.35(12) mean: 1452.81, max: 1548.02
Date: 07-04 at 08:57:33, iter: 112, fix: false, local: false, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1412.35(12) mean: 1445.63, max: 1535.08
Date: 07-04 at 08:58:58, iter: 113, fix: false, local: false, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1412.35(12) mean: 1445.39, max: 1535.17
Date: 07-04 at 09:00:18, iter: 114, fix: false, local: false, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1412.35(12) mean: 1445.55, max: 1534.32
Date: 07-04 at 09:01:43, iter: 115, fix: false, local: false, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1412.35(12) mean: 1449.65, max: 1548.02
Date: 07-04 at 09:03:00, iter: 116, fix: false, local: false, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1412.35(12) mean: 1445.79, max: 1535.08
Date: 07-04 at 09:04:14, iter: 117, fix: false, local: false, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1412.35(12) mean: 1445.74, max: 1534.32
Date: 07-04 at 09:05:35, iter: 118, fix: false, local: false, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1412.35(12) mean: 1458.19, max: 1581.46
Date: 07-04 at 09:06:56, iter: 119, fix: false, local: false, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1412.35(12) mean: 1454.32, max: 1548.34
Date: 07-04 at 09:08:21, iter: 120, fix: false, local: false, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1412.35(12) mean: 1447.43, max: 1525.22
Date: 07-04 at 09:09:44, iter: 121, fix: false, local: false, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1412.35(12) mean: 1442.89, max: 1523.04
Date: 07-04 at 09:10:59, iter: 122, fix: false, local: false, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1412.35(12) mean: 1442.85, max: 1523.04
Date: 07-04 at 09:12:15, iter: 123, fix: false, local: false, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1412.35(12) mean: 1442.70, max: 1523.40
Date: 07-04 at 09:13:39, iter: 124, fix: false, local: false, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1412.35(12) mean: 1445.90, max: 1514.26
Date: 07-04 at 09:15:09, iter: 125, fix: false, local: false, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1412.35(12) mean: 1439.41, max: 1520.40
Date: 07-04 at 09:16:28, iter: 126, fix: false, local: false, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1412.35(12) mean: 1431.63, max: 1497.04
Date: 07-04 at 09:17:50, iter: 127, fix: false, local: false, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1412.35(12) mean: 1429.81, max: 1496.95
Date: 07-04 at 09:19:15, iter: 128, fix: false, local: false, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1412.35(12) mean: 1434.65, max: 1496.19
Date: 07-04 at 09:20:46, iter: 129, fix: false, local: false, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1412.35(12) mean: 1430.14, max: 1496.19
Date: 07-04 at 09:22:03, iter: 130, fix: false, local: false, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1412.35(12) mean: 1435.64, max: 1501.87
Date: 07-04 at 09:23:26, iter: 131, fix: false, local: false, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1412.35(12) mean: 1430.21, max: 1497.04
Date: 07-04 at 09:24:42, iter: 132, fix: false, local: false, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1412.35(12) mean: 1433.85, max: 1496.95
Date: 07-04 at 09:26:10, iter: 133, fix: false, local: false, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1412.35(12) mean: 1430.07, max: 1496.19
Date: 07-04 at 09:27:27, iter: 134, fix: false, local: false, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1412.35(12) mean: 1430.08, max: 1496.19
Date: 07-04 at 09:28:49, iter: 135, fix: false, local: false, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1412.35(12) mean: 1426.78, max: 1496.19
