Date: 11-07 at 22:46:41, #particle: 15, iter: 91, fix: false, local: false, cut car: true, new generate: false, Khoo: 1157.55, best obj: 1222.41(9), mean: 1362.39, max: 1693.01
Date: 11-07 at 22:47:47, #particle: 15, iter: 92, fix: false, local: false, cut car: true, new generate: false, Khoo: 1157.55, best obj: 1222.41(9), mean: 1288.98, max: 1410.17
Date: 11-07 at 22:48:50, #particle: 15, iter: 93, fix: false, local: false, cut car: true, new generate: false, Khoo: 1157.55, best obj: 1222.41(9), mean: 1354.11, max: 1484.04
Date: 11-07 at 22:50:01, #particle: 15, iter: 94, fix: false, local: false, cut car: true, new generate: false, Khoo: 1157.55, best obj: 1222.41(9), mean: 1315.97, max: 1443.91
Date: 11-07 at 22:51:06, #particle: 15, iter: 95, fix: false, local: false, cut car: true, new generate: false, Khoo: 1157.55, best obj: 1222.41(9), mean: 1309.46, max: 1407.01
Date: 11-07 at 22:52:15, #particle: 15, iter: 97, fix: false, local: false, cut car: true, new generate: false, Khoo: 1157.55, best obj: 1222.41(9), mean: 1562.29, max: 1855.50
Date: 11-07 at 22:53:24, #particle: 15, iter: 98, fix: false, local: false, cut car: true, new generate: false, Khoo: 1157.55, best obj: 1222.41(9), mean: 1392.34, max: 1709.01
Date: 11-07 at 22:54:28, #particle: 15, iter: 99, fix: false, local: false, cut car: true, new generate: false, Khoo: 1157.55, best obj: 1222.41(9), mean: 1384.27, max: 1703.28
Date: 11-07 at 22:55:34, #particle: 15, iter: 100, fix: false, local: false, cut car: true, new generate: false, Khoo: 1157.55, best obj: 1222.41(9), mean: 1332.38, max: 1655.14
Date: 11-07 at 22:56:45, #particle: 15, iter: 102, fix: false, local: false, cut car: true, new generate: false, Khoo: 1157.55, best obj: 1222.41(9), mean: 1456.96, max: 1749.69
Date: 11-07 at 22:57:50, #particle: 15, iter: 103, fix: false, local: false, cut car: true, new generate: false, Khoo: 1157.55, best obj: 1222.41(9), mean: 1317.68, max: 1505.97
