Date: 08-02 at 02:13:35, #particle: 15, iter: 86, fix: false, local: false, cut car: false, new generate: true, Khoo: 735.8, best obj: 809.46(5), mean: 1028.47, max: 1161.10
Date: 08-02 at 02:14:16, #particle: 15, iter: 87, fix: false, local: false, cut car: false, new generate: true, Khoo: 735.8, best obj: 809.46(5), mean: 1032.94, max: 1214.77
Date: 08-02 at 02:15:01, #particle: 15, iter: 88, fix: false, local: false, cut car: false, new generate: true, Khoo: 735.8, best obj: 809.46(5), mean: 915.14, max: 1090.86
Date: 08-02 at 02:15:45, #particle: 15, iter: 89, fix: false, local: false, cut car: false, new generate: true, Khoo: 735.8, best obj: 809.46(5), mean: 877.20, max: 935.12
Date: 08-02 at 02:16:28, #particle: 15, iter: 90, fix: false, local: false, cut car: false, new generate: true, Khoo: 735.8, best obj: 809.46(5), mean: 866.53, max: 911.54
Date: 08-02 at 02:17:12, #particle: 15, iter: 91, fix: false, local: false, cut car: false, new generate: true, Khoo: 735.8, best obj: 809.46(5), mean: 857.01, max: 911.63
Date: 08-02 at 02:17:54, #particle: 15, iter: 92, fix: false, local: false, cut car: false, new generate: true, Khoo: 735.8, best obj: 809.46(5), mean: 859.68, max: 911.37
Date: 08-02 at 02:18:41, #particle: 15, iter: 94, fix: false, local: false, cut car: false, new generate: true, Khoo: 735.8, best obj: 809.46(5), mean: 3030.92, max: 3693.67
Date: 08-02 at 02:19:26, #particle: 15, iter: 95, fix: false, local: false, cut car: false, new generate: true, Khoo: 735.8, best obj: 809.46(5), mean: 2187.57, max: 3335.75
Date: 08-02 at 02:20:11, #particle: 15, iter: 96, fix: false, local: false, cut car: false, new generate: true, Khoo: 735.8, best obj: 809.46(5), mean: 1384.51, max: 2301.51
Date: 08-02 at 02:20:55, #particle: 15, iter: 97, fix: false, local: false, cut car: false, new generate: true, Khoo: 735.8, best obj: 809.46(5), mean: 1381.22, max: 2222.05
Date: 08-02 at 02:21:39, #particle: 15, iter: 98, fix: false, local: false, cut car: false, new generate: true, Khoo: 735.8, best obj: 809.46(5), mean: 1015.71, max: 1138.02
Date: 08-02 at 02:22:23, #particle: 15, iter: 99, fix: false, local: false, cut car: false, new generate: true, Khoo: 735.8, best obj: 809.46(5), mean: 988.25, max: 1090.77
Date: 08-02 at 02:23:08, #particle: 15, iter: 100, fix: false, local: false, cut car: false, new generate: true, Khoo: 735.8, best obj: 809.46(5), mean: 1020.05, max: 1156.17
Date: 08-02 at 02:23:53, #particle: 15, iter: 101, fix: false, local: false, cut car: false, new generate: true, Khoo: 735.8, best obj: 809.46(5), mean: 941.39, max: 1007.40
Date: 08-02 at 02:24:37, #particle: 15, iter: 102, fix: false, local: false, cut car: false, new generate: true, Khoo: 735.8, best obj: 809.46(5), mean: 966.84, max: 1097.94
Date: 08-02 at 02:25:22, #particle: 15, iter: 104, fix: false, local: false, cut car: false, new generate: true, Khoo: 735.8, best obj: 809.46(5), mean: 3151.36, max: 3770.24
Date: 08-02 at 02:26:07, #particle: 15, iter: 105, fix: false, local: false, cut car: false, new generate: true, Khoo: 735.8, best obj: 809.46(5), mean: 2596.02, max: 3467.03
Date: 08-02 at 02:26:55, #particle: 15, iter: 106, fix: false, local: false, cut car: false, new generate: true, Khoo: 735.8, best obj: 809.46(5), mean: 1400.44, max: 2421.58
Date: 08-02 at 02:27:39, #particle: 15, iter: 107, fix: false, local: false, cut car: false, new generate: true, Khoo: 735.8, best obj: 809.46(5), mean: 1145.68, max: 1890.95
Date: 08-02 at 02:28:22, #particle: 15, iter: 108, fix: false, local: false, cut car: false, new generate: true, Khoo: 735.8, best obj: 809.46(5), mean: 925.40, max: 1006.34
Date: 08-02 at 02:29:06, #particle: 15, iter: 109, fix: false, local: false, cut car: false, new generate: true, Khoo: 735.8, best obj: 809.46(5), mean: 888.74, max: 962.38
Date: 08-02 at 02:29:50, #particle: 15, iter: 110, fix: false, local: false, cut car: false, new generate: true, Khoo: 735.8, best obj: 809.46(5), mean: 862.18, max: 898.12
Date: 08-02 at 02:30:33, #particle: 15, iter: 111, fix: false, local: false, cut car: false, new generate: true, Khoo: 735.8, best obj: 809.46(5), mean: 859.49, max: 897.96
Date: 08-02 at 02:31:17, #particle: 15, iter: 112, fix: false, local: false, cut car: false, new generate: true, Khoo: 735.8, best obj: 809.46(5), mean: 929.21, max: 1021.08
Date: 08-02 at 02:32:01, #particle: 15, iter: 114, fix: false, local: false, cut car: false, new generate: true, Khoo: 735.8, best obj: 809.46(5), mean: 2948.40, max: 3724.40
Date: 08-02 at 02:32:47, #particle: 15, iter: 115, fix: false, local: false, cut car: false, new generate: true, Khoo: 735.8, best obj: 809.46(5), mean: 2395.07, max: 3431.16
