Date: 07-05 at 14:17:57, iter: 94, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1137.67(11) mean: 1137.83, max: 1139.99
Date: 07-05 at 14:19:14, iter: 95, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1137.67(11) mean: 1139.93, max: 1171.48
Date: 07-05 at 14:20:25, iter: 96, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1137.67(11) mean: 1137.83, max: 1139.99
Date: 07-05 at 14:21:36, iter: 97, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1137.67(11) mean: 1138.22, max: 1145.85
Date: 07-05 at 14:22:53, iter: 98, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1137.67(11) mean: 1137.84, max: 1140.17
Date: 07-05 at 14:24:09, iter: 99, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1137.67(11) mean: 1137.83, max: 1139.99
Date: 07-05 at 14:25:22, iter: 100, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1137.67(11) mean: 1137.83, max: 1139.99
Date: 07-05 at 14:26:39, iter: 101, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1137.67(11) mean: 1138.43, max: 1149.01
Date: 07-05 at 14:27:50, iter: 102, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1137.67(11) mean: 1137.67, max: 1137.67
Date: 07-05 at 14:29:06, iter: 103, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1137.67(11) mean: 1137.67, max: 1137.67
Date: 07-05 at 14:30:27, iter: 104, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1137.67(11) mean: 1137.67, max: 1137.67
Date: 07-05 at 14:31:53, iter: 105, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1137.67(11) mean: 1137.67, max: 1137.67
Date: 07-05 at 14:33:08, iter: 106, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1137.67(11) mean: 1137.67, max: 1137.67
Date: 07-05 at 14:34:25, iter: 107, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1137.67(11) mean: 1137.67, max: 1137.67
Date: 07-05 at 14:35:50, iter: 108, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1137.67(11) mean: 1137.67, max: 1137.67
Date: 07-05 at 14:37:28, iter: 109, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1137.67(11) mean: 1137.67, max: 1137.67
Date: 07-05 at 14:39:00, iter: 110, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1137.67(11) mean: 1137.67, max: 1137.67
Date: 07-05 at 14:40:24, iter: 111, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1137.67(11) mean: 1137.67, max: 1137.67
Date: 07-05 at 14:41:39, iter: 112, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1137.67(11) mean: 1137.67, max: 1137.67
Date: 07-05 at 14:42:50, iter: 113, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1137.67(11) mean: 1137.67, max: 1137.67
Date: 07-05 at 14:44:23, iter: 114, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1137.67(11) mean: 1137.67, max: 1137.67
Date: 07-05 at 14:45:41, iter: 115, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1137.67(11) mean: 1137.67, max: 1137.67
Date: 07-05 at 14:47:00, iter: 116, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1137.67(11) mean: 1137.67, max: 1137.67
Date: 07-05 at 14:48:16, iter: 117, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1137.67(11) mean: 1137.67, max: 1137.67
Date: 07-05 at 14:49:38, iter: 118, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1137.67(11) mean: 1137.67, max: 1137.67
Date: 07-05 at 14:51:13, iter: 119, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1137.67(11) mean: 1137.67, max: 1137.67
Date: 07-05 at 14:52:27, iter: 120, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1137.67(11) mean: 1137.67, max: 1137.67
Date: 07-05 at 14:53:29, iter: 121, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1137.67(11) mean: 1137.67, max: 1137.67
Date: 07-05 at 14:54:34, iter: 122, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1137.67(11) mean: 1137.67, max: 1137.67
Date: 07-05 at 14:55:52, iter: 123, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1137.67(11) mean: 1137.67, max: 1137.67
Date: 07-05 at 14:57:06, iter: 124, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1137.67(11) mean: 1137.67, max: 1137.67
Date: 07-05 at 14:58:24, iter: 125, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1137.67(11) mean: 1137.67, max: 1137.67
Date: 07-05 at 14:59:37, iter: 126, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1137.67(11) mean: 1137.67, max: 1137.67
Date: 07-05 at 15:01:07, iter: 127, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1137.67(11) mean: 1137.67, max: 1137.67
Date: 07-05 at 15:02:24, iter: 128, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1137.67(11) mean: 1137.67, max: 1137.67
Date: 07-05 at 15:03:34, iter: 129, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1137.67(11) mean: 1137.67, max: 1137.67
Date: 07-05 at 15:04:59, iter: 130, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1137.67(11) mean: 1137.67, max: 1137.67
Date: 07-05 at 15:06:19, iter: 131, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1137.67(11) mean: 1137.67, max: 1137.67
Date: 07-05 at 15:07:35, iter: 132, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1137.67(11) mean: 1137.67, max: 1137.67
Date: 07-05 at 15:09:00, iter: 133, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1137.67(11) mean: 1137.67, max: 1137.67
Date: 07-05 at 15:10:12, iter: 134, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1137.67(11) mean: 1137.67, max: 1137.67
Date: 07-05 at 15:11:26, iter: 135, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1137.67(11) mean: 1137.67, max: 1137.67
Date: 07-05 at 15:12:43, iter: 136, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1137.67(11) mean: 1137.67, max: 1137.67
Date: 07-05 at 15:14:09, iter: 137, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1137.67(11) mean: 1137.67, max: 1137.67
Date: 07-05 at 15:15:26, iter: 138, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1137.67(11) mean: 1137.67, max: 1137.67
Date: 07-05 at 15:16:42, iter: 139, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1137.67(11) mean: 1137.67, max: 1137.67
Date: 07-05 at 15:18:09, iter: 140, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1137.67(11) mean: 1137.67, max: 1137.67
Date: 07-05 at 15:19:38, iter: 141, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1137.67(11) mean: 1137.67, max: 1137.67
Date: 07-05 at 15:20:55, iter: 142, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1137.67(11) mean: 1137.67, max: 1137.67
Date: 07-05 at 15:22:07, iter: 143, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1137.67(11) mean: 1137.67, max: 1137.67
