Date: 07-20 at 16:27:53, #particle: 10, iter: 120, fix: false, local: false, cut car: true, new generate: true, Khoo: 1613.59, best obj: 1661.87(21), mean: 1720.29, max: 1904.13
Date: 07-20 at 16:28:37, #particle: 10, iter: 121, fix: false, local: false, cut car: true, new generate: true, Khoo: 1613.59, best obj: 1661.87(21), mean: 1709.04, max: 1891.15
Date: 07-20 at 16:29:22, #particle: 10, iter: 122, fix: false, local: false, cut car: true, new generate: true, Khoo: 1613.59, best obj: 1661.87(21), mean: 1704.11, max: 1826.68
Date: 07-20 at 16:30:06, #particle: 10, iter: 124, fix: false, local: false, cut car: true, new generate: true, Khoo: 1613.59, best obj: 1661.87(21), mean: 1727.65, max: 1989.73
Date: 07-20 at 16:30:47, #particle: 10, iter: 125, fix: false, local: false, cut car: true, new generate: true, Khoo: 1613.59, best obj: 1661.87(21), mean: 1729.42, max: 1974.57
Date: 07-20 at 16:31:31, #particle: 10, iter: 126, fix: false, local: false, cut car: true, new generate: true, Khoo: 1613.59, best obj: 1661.87(21), mean: 1706.57, max: 1820.96
Date: 07-20 at 16:32:17, #particle: 10, iter: 127, fix: false, local: false, cut car: true, new generate: true, Khoo: 1613.59, best obj: 1661.87(21), mean: 1686.32, max: 1736.86
Date: 07-20 at 16:33:04, #particle: 10, iter: 129, fix: false, local: false, cut car: true, new generate: true, Khoo: 1613.59, best obj: 1661.87(21), mean: 1717.89, max: 1842.60
Date: 07-20 at 16:33:44, #particle: 10, iter: 130, fix: false, local: false, cut car: true, new generate: true, Khoo: 1613.59, best obj: 1661.87(21), mean: 1721.87, max: 1890.39
Date: 07-20 at 16:34:25, #particle: 10, iter: 131, fix: false, local: false, cut car: true, new generate: true, Khoo: 1613.59, best obj: 1661.87(21), mean: 1704.62, max: 1875.29
Date: 07-20 at 16:35:09, #particle: 10, iter: 132, fix: false, local: false, cut car: true, new generate: true, Khoo: 1613.59, best obj: 1661.87(21), mean: 1678.12, max: 1707.50
Date: 07-20 at 16:35:57, #particle: 10, iter: 134, fix: false, local: false, cut car: true, new generate: true, Khoo: 1613.59, best obj: 1659.17(21), mean: 1681.73, max: 1737.41
Date: 07-20 at 16:36:39, #particle: 10, iter: 135, fix: false, local: false, cut car: true, new generate: true, Khoo: 1613.59, best obj: 1659.17(21), mean: 1706.94, max: 1782.02
Date: 07-20 at 16:37:23, #particle: 10, iter: 136, fix: false, local: false, cut car: true, new generate: true, Khoo: 1613.59, best obj: 1659.17(21), mean: 1698.43, max: 1787.87
Date: 07-20 at 16:38:07, #particle: 10, iter: 137, fix: false, local: false, cut car: true, new generate: true, Khoo: 1613.59, best obj: 1659.17(21), mean: 1687.56, max: 1724.13
