Date: 07-10 at 06:23:11, iter: 119, fix: false, local: false, cut car: true, new generate: true, Khoo: 591.17 best obj: 642.14(4) mean: 673.44, max: 1046.81
Date: 07-10 at 06:23:37, iter: 120, fix: false, local: false, cut car: true, new generate: true, Khoo: 591.17 best obj: 642.14(4) mean: 645.25, max: 688.75
Date: 07-10 at 06:24:04, iter: 121, fix: false, local: false, cut car: true, new generate: true, Khoo: 591.17 best obj: 642.14(4) mean: 642.14, max: 642.14
Date: 07-10 at 06:24:44, iter: 123, fix: false, local: false, cut car: true, new generate: true, Khoo: 591.17 best obj: 642.14(4) mean: 674.59, max: 956.26
Date: 07-10 at 06:25:15, iter: 125, fix: false, local: false, cut car: true, new generate: true, Khoo: 591.17 best obj: 642.14(4) mean: 1810.80, max: 3415.31
Date: 07-10 at 06:25:42, iter: 126, fix: false, local: false, cut car: true, new generate: true, Khoo: 591.17 best obj: 642.14(4) mean: 763.22, max: 963.85
Date: 07-10 at 06:26:14, iter: 127, fix: false, local: false, cut car: true, new generate: true, Khoo: 591.17 best obj: 642.14(4) mean: 707.99, max: 886.06
Date: 07-10 at 06:26:55, iter: 129, fix: false, local: false, cut car: true, new generate: true, Khoo: 591.17 best obj: 642.14(4) mean: 785.52, max: 1118.10
Date: 07-10 at 06:27:25, iter: 130, fix: false, local: false, cut car: true, new generate: true, Khoo: 591.17 best obj: 642.14(4) mean: 733.70, max: 1026.78
Date: 07-10 at 06:27:55, iter: 131, fix: false, local: false, cut car: true, new generate: true, Khoo: 591.17 best obj: 642.14(4) mean: 675.45, max: 718.46
Date: 07-10 at 06:28:22, iter: 132, fix: false, local: false, cut car: true, new generate: true, Khoo: 591.17 best obj: 642.14(4) mean: 672.94, max: 712.48
Date: 07-10 at 06:28:58, iter: 134, fix: false, local: false, cut car: true, new generate: true, Khoo: 591.17 best obj: 642.14(4) mean: 787.32, max: 1181.01
Date: 07-10 at 06:29:22, iter: 135, fix: false, local: false, cut car: true, new generate: true, Khoo: 591.17 best obj: 642.14(4) mean: 694.78, max: 1057.12
Date: 07-10 at 06:29:51, iter: 136, fix: false, local: false, cut car: true, new generate: true, Khoo: 591.17 best obj: 642.14(4) mean: 646.05, max: 695.10
Date: 07-10 at 06:30:20, iter: 137, fix: false, local: false, cut car: true, new generate: true, Khoo: 591.17 best obj: 642.14(4) mean: 642.57, max: 648.60
Date: 07-10 at 06:30:55, iter: 139, fix: false, local: false, cut car: true, new generate: true, Khoo: 591.17 best obj: 642.14(4) mean: 693.15, max: 1036.77
Date: 07-10 at 06:31:26, iter: 140, fix: false, local: false, cut car: true, new generate: true, Khoo: 591.17 best obj: 642.14(4) mean: 648.14, max: 725.74
Date: 07-10 at 06:31:51, iter: 141, fix: false, local: false, cut car: true, new generate: true, Khoo: 591.17 best obj: 642.14(4) mean: 647.21, max: 711.69
Date: 07-10 at 06:32:21, iter: 142, fix: false, local: false, cut car: true, new generate: true, Khoo: 591.17 best obj: 642.14(4) mean: 642.57, max: 648.60
Date: 07-10 at 06:32:59, iter: 144, fix: false, local: false, cut car: true, new generate: true, Khoo: 591.17 best obj: 642.14(4) mean: 704.85, max: 970.54
Date: 07-10 at 06:33:21, iter: 145, fix: false, local: false, cut car: true, new generate: true, Khoo: 591.17 best obj: 642.14(4) mean: 684.61, max: 963.26
Date: 07-10 at 06:33:48, iter: 146, fix: false, local: false, cut car: true, new generate: true, Khoo: 591.17 best obj: 642.14(4) mean: 642.38, max: 645.70
Date: 07-10 at 06:34:19, iter: 147, fix: false, local: false, cut car: true, new generate: true, Khoo: 591.17 best obj: 642.14(4) mean: 642.14, max: 642.14
Date: 07-10 at 06:35:03, iter: 149, fix: false, local: false, cut car: true, new generate: true, Khoo: 591.17 best obj: 642.14(4) mean: 700.99, max: 1130.27
Date: 07-10 at 06:35:28, iter: 150, fix: false, local: false, cut car: true, new generate: true, Khoo: 591.17 best obj: 642.14(4) mean: 677.79, max: 1074.24
Date: 07-10 at 06:35:57, iter: 151, fix: false, local: false, cut car: true, new generate: true, Khoo: 591.17 best obj: 642.14(4) mean: 669.65, max: 997.85
Date: 07-10 at 06:36:28, iter: 152, fix: false, local: false, cut car: true, new generate: true, Khoo: 591.17 best obj: 642.14(4) mean: 642.14, max: 642.14
Date: 07-10 at 06:37:08, iter: 154, fix: false, local: false, cut car: true, new generate: true, Khoo: 591.17 best obj: 642.14(4) mean: 784.08, max: 1301.15
Date: 07-10 at 06:37:36, iter: 155, fix: false, local: false, cut car: true, new generate: true, Khoo: 591.17 best obj: 642.14(4) mean: 763.89, max: 1195.21
Date: 07-10 at 06:38:01, iter: 156, fix: false, local: false, cut car: true, new generate: true, Khoo: 591.17 best obj: 642.14(4) mean: 688.71, max: 844.07
Date: 07-10 at 06:38:24, iter: 157, fix: false, local: false, cut car: true, new generate: true, Khoo: 591.17 best obj: 642.14(4) mean: 649.14, max: 743.62
Date: 07-10 at 06:39:04, iter: 159, fix: false, local: false, cut car: true, new generate: true, Khoo: 591.17 best obj: 642.14(4) mean: 677.29, max: 918.90
Date: 07-10 at 06:39:30, iter: 160, fix: false, local: false, cut car: true, new generate: true, Khoo: 591.17 best obj: 642.14(4) mean: 674.17, max: 975.95
Date: 07-10 at 06:40:03, iter: 161, fix: false, local: false, cut car: true, new generate: true, Khoo: 591.17 best obj: 642.14(4) mean: 661.08, max: 926.22
Date: 07-10 at 06:40:27, iter: 162, fix: false, local: false, cut car: true, new generate: true, Khoo: 591.17 best obj: 642.14(4) mean: 660.94, max: 924.17
Date: 07-10 at 06:41:09, iter: 164, fix: false, local: false, cut car: true, new generate: true, Khoo: 591.17 best obj: 642.14(4) mean: 719.84, max: 993.45
