Date: 09-17 at 17:51:04, #particle: 15, iter: 29, fix: false, local: false, cut car: true, new generate: true, Khoo: 824.78, best obj: 1009.19(11), mean: 1057.47, max: 1125.37
Date: 09-17 at 17:52:10, #particle: 15, iter: 30, fix: false, local: false, cut car: true, new generate: true, Khoo: 824.78, best obj: 1008.96(11), mean: 1030.89, max: 1063.05
Date: 09-17 at 17:53:11, #particle: 15, iter: 31, fix: false, local: false, cut car: true, new generate: true, Khoo: 824.78, best obj: 1008.96(11), mean: 1036.39, max: 1078.19
Date: 09-17 at 17:54:11, #particle: 15, iter: 32, fix: false, local: false, cut car: true, new generate: true, Khoo: 824.78, best obj: 1008.96(11), mean: 1036.79, max: 1078.08
Date: 09-17 at 17:55:09, #particle: 15, iter: 33, fix: false, local: false, cut car: true, new generate: true, Khoo: 824.78, best obj: 1008.96(11), mean: 1034.62, max: 1070.06
Date: 09-17 at 17:56:01, #particle: 15, iter: 34, fix: false, local: false, cut car: true, new generate: true, Khoo: 824.78, best obj: 1008.96(11), mean: 1070.72, max: 1108.74
Date: 09-17 at 17:57:05, #particle: 15, iter: 36, fix: false, local: false, cut car: true, new generate: true, Khoo: 824.78, best obj: 1008.96(11), mean: 1240.88, max: 1661.41
Date: 09-17 at 17:57:59, #particle: 15, iter: 37, fix: false, local: false, cut car: true, new generate: true, Khoo: 824.78, best obj: 978.83(10), mean: 1124.48, max: 1497.00
Date: 09-17 at 17:58:58, #particle: 15, iter: 38, fix: false, local: false, cut car: true, new generate: true, Khoo: 824.78, best obj: 974.78(10), mean: 1036.33, max: 1133.46
Date: 09-17 at 17:59:51, #particle: 15, iter: 39, fix: false, local: false, cut car: true, new generate: true, Khoo: 824.78, best obj: 974.78(10), mean: 1067.22, max: 1194.57
Date: 09-17 at 18:00:52, #particle: 15, iter: 40, fix: false, local: false, cut car: true, new generate: true, Khoo: 824.78, best obj: 956.11(11), mean: 999.60, max: 1091.25
Date: 09-17 at 18:01:53, #particle: 15, iter: 41, fix: false, local: false, cut car: true, new generate: true, Khoo: 824.78, best obj: 952.41(11), mean: 989.42, max: 1062.92
Date: 09-17 at 18:02:53, #particle: 15, iter: 42, fix: false, local: false, cut car: true, new generate: true, Khoo: 824.78, best obj: 952.41(11), mean: 1004.58, max: 1047.84
Date: 09-17 at 18:03:57, #particle: 15, iter: 43, fix: false, local: false, cut car: true, new generate: true, Khoo: 824.78, best obj: 952.41(11), mean: 987.55, max: 1079.10
Date: 09-17 at 18:04:53, #particle: 15, iter: 44, fix: false, local: false, cut car: true, new generate: true, Khoo: 824.78, best obj: 952.41(11), mean: 992.70, max: 1114.34
Date: 09-17 at 18:05:51, #particle: 15, iter: 45, fix: false, local: false, cut car: true, new generate: true, Khoo: 824.78, best obj: 952.41(11), mean: 974.31, max: 1058.42
Date: 09-17 at 18:06:50, #particle: 15, iter: 47, fix: false, local: false, cut car: true, new generate: true, Khoo: 824.78, best obj: 952.41(11), mean: 1185.92, max: 1527.92
Date: 09-17 at 18:07:47, #particle: 15, iter: 48, fix: false, local: false, cut car: true, new generate: true, Khoo: 824.78, best obj: 952.41(11), mean: 1036.06, max: 1169.42
Date: 09-17 at 18:08:46, #particle: 15, iter: 49, fix: false, local: false, cut car: true, new generate: true, Khoo: 824.78, best obj: 934.90(12), mean: 1021.02, max: 1188.51
Date: 09-17 at 18:09:42, #particle: 15, iter: 50, fix: false, local: false, cut car: true, new generate: true, Khoo: 824.78, best obj: 922.64(12), mean: 1042.83, max: 1224.53
Date: 09-17 at 18:10:35, #particle: 15, iter: 51, fix: false, local: false, cut car: true, new generate: true, Khoo: 824.78, best obj: 885.48(11), mean: 981.95, max: 1169.42
Date: 09-17 at 18:11:35, #particle: 15, iter: 52, fix: false, local: false, cut car: true, new generate: true, Khoo: 824.78, best obj: 884.17(11), mean: 992.25, max: 1198.52
Date: 09-17 at 18:12:36, #particle: 15, iter: 53, fix: false, local: false, cut car: true, new generate: true, Khoo: 824.78, best obj: 884.17(11), mean: 926.42, max: 1000.54
Date: 09-17 at 18:13:42, #particle: 15, iter: 54, fix: false, local: false, cut car: true, new generate: true, Khoo: 824.78, best obj: 884.17(11), mean: 920.27, max: 1000.48
Date: 09-17 at 18:14:38, #particle: 15, iter: 55, fix: false, local: false, cut car: true, new generate: true, Khoo: 824.78, best obj: 884.17(11), mean: 912.34, max: 987.54
Date: 09-17 at 18:15:30, #particle: 15, iter: 56, fix: false, local: false, cut car: true, new generate: true, Khoo: 824.78, best obj: 884.17(11), mean: 931.63, max: 991.53
Date: 09-17 at 18:16:32, #particle: 15, iter: 58, fix: false, local: false, cut car: true, new generate: true, Khoo: 824.78, best obj: 884.17(11), mean: 960.64, max: 1256.05
Date: 09-17 at 18:17:26, #particle: 15, iter: 59, fix: false, local: false, cut car: true, new generate: true, Khoo: 824.78, best obj: 884.17(11), mean: 914.80, max: 1049.18
