Date: 07-05 at 01:59:37, iter: 177, fix: false, local: true, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1285.82(9) mean: 1718.25, max: 2131.80
Date: 07-05 at 02:00:52, iter: 178, fix: false, local: true, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1285.82(9) mean: 1571.49, max: 1983.55
Date: 07-05 at 02:02:16, iter: 179, fix: false, local: true, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1285.82(9) mean: 1489.36, max: 1961.92
Date: 07-05 at 02:03:51, iter: 180, fix: false, local: true, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1285.82(9) mean: 1428.27, max: 1630.74
Date: 07-05 at 02:05:05, iter: 182, fix: false, local: true, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1285.82(9) mean: 1656.33, max: 2168.53
Date: 07-05 at 02:06:34, iter: 183, fix: false, local: true, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1285.82(9) mean: 1506.89, max: 1833.03
Date: 07-05 at 02:08:10, iter: 184, fix: false, local: true, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1285.82(9) mean: 1423.69, max: 1573.43
Date: 07-05 at 02:09:31, iter: 185, fix: false, local: true, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1285.82(9) mean: 1436.11, max: 1595.18
Date: 07-05 at 02:10:55, iter: 187, fix: false, local: true, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1285.82(9) mean: 1661.39, max: 2030.81
Date: 07-05 at 02:11:58, iter: 188, fix: false, local: true, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1285.82(9) mean: 1461.30, max: 1914.33
Date: 07-05 at 02:13:28, iter: 189, fix: false, local: true, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1285.82(9) mean: 1379.99, max: 1499.68
Date: 07-05 at 02:14:41, iter: 190, fix: false, local: true, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1285.82(9) mean: 1347.98, max: 1434.08
Date: 07-05 at 02:15:59, iter: 192, fix: false, local: true, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1285.82(9) mean: 1609.59, max: 2239.54
