Date: 07-06 at 13:39:15, iter: 105, fix: false, local: false, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1165.52(11) mean: 1228.22, max: 1361.52
Date: 07-06 at 13:40:17, iter: 106, fix: false, local: false, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1165.52(11) mean: 1251.34, max: 1437.42
Date: 07-06 at 13:41:21, iter: 107, fix: false, local: false, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1165.52(11) mean: 1256.48, max: 1486.58
Date: 07-06 at 13:42:30, iter: 108, fix: false, local: false, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1165.52(11) mean: 1258.73, max: 1491.32
Date: 07-06 at 13:43:39, iter: 109, fix: false, local: false, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1165.52(11) mean: 1192.54, max: 1290.56
Date: 07-06 at 13:44:43, iter: 110, fix: false, local: false, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1165.52(11) mean: 1213.11, max: 1330.17
Date: 07-06 at 13:45:53, iter: 111, fix: false, local: false, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1165.52(11) mean: 1198.47, max: 1293.59
Date: 07-06 at 13:47:02, iter: 112, fix: false, local: false, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1165.52(11) mean: 1199.57, max: 1328.01
Date: 07-06 at 13:48:11, iter: 113, fix: false, local: false, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1165.52(11) mean: 1187.52, max: 1247.48
Date: 07-06 at 13:49:16, iter: 114, fix: false, local: false, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1165.52(11) mean: 1205.27, max: 1290.72
Date: 07-06 at 13:50:28, iter: 115, fix: false, local: false, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1165.52(11) mean: 1199.08, max: 1275.40
Date: 07-06 at 13:51:35, iter: 116, fix: false, local: false, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1165.52(11) mean: 1203.67, max: 1325.70
Date: 07-06 at 13:52:44, iter: 117, fix: false, local: false, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1165.52(11) mean: 1184.73, max: 1244.34
Date: 07-06 at 13:53:53, iter: 118, fix: false, local: false, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1165.52(11) mean: 1192.88, max: 1265.28
Date: 07-06 at 13:55:03, iter: 119, fix: false, local: false, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1165.52(11) mean: 1211.15, max: 1302.39
Date: 07-06 at 13:56:12, iter: 120, fix: false, local: false, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1165.52(11) mean: 1181.13, max: 1224.72
Date: 07-06 at 13:57:21, iter: 121, fix: false, local: false, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1165.52(11) mean: 1186.79, max: 1263.43
