Date: 07-19 at 12:46:50, iter: 145, fix: false, local: true, cut car: true, new generate: false, Khoo: 1144.48 best obj: 1186.67(9) mean: 1302.83, max: 1457.18
Date: 07-19 at 12:47:36, iter: 146, fix: false, local: true, cut car: true, new generate: false, Khoo: 1144.48 best obj: 1186.67(9) mean: 1287.76, max: 1471.48
Date: 07-19 at 12:48:21, iter: 148, fix: false, local: true, cut car: true, new generate: false, Khoo: 1144.48 best obj: 1186.67(9) mean: 1441.38, max: 1733.33
Date: 07-19 at 12:49:07, iter: 149, fix: false, local: true, cut car: true, new generate: false, Khoo: 1144.48 best obj: 1186.67(9) mean: 1318.48, max: 1584.86
Date: 07-19 at 12:49:55, iter: 150, fix: false, local: true, cut car: true, new generate: false, Khoo: 1144.48 best obj: 1186.67(9) mean: 1289.03, max: 1585.48
Date: 07-19 at 12:50:41, iter: 151, fix: false, local: true, cut car: true, new generate: false, Khoo: 1144.48 best obj: 1186.67(9) mean: 1250.82, max: 1339.95
Date: 07-19 at 12:51:29, iter: 153, fix: false, local: true, cut car: true, new generate: false, Khoo: 1144.48 best obj: 1186.67(9) mean: 1394.23, max: 1601.34
Date: 07-19 at 12:52:13, iter: 154, fix: false, local: true, cut car: true, new generate: false, Khoo: 1144.48 best obj: 1186.67(9) mean: 1296.82, max: 1516.57
Date: 07-19 at 12:52:59, iter: 155, fix: false, local: true, cut car: true, new generate: false, Khoo: 1144.48 best obj: 1186.67(9) mean: 1249.19, max: 1334.35
Date: 07-19 at 12:53:44, iter: 156, fix: false, local: true, cut car: true, new generate: false, Khoo: 1144.48 best obj: 1186.67(9) mean: 1242.29, max: 1336.76
Date: 07-19 at 12:54:31, iter: 158, fix: false, local: true, cut car: true, new generate: false, Khoo: 1144.48 best obj: 1186.67(9) mean: 1394.56, max: 1558.44
Date: 07-19 at 12:55:16, iter: 159, fix: false, local: true, cut car: true, new generate: false, Khoo: 1144.48 best obj: 1186.67(9) mean: 1369.85, max: 1543.11
Date: 07-19 at 12:56:01, iter: 160, fix: false, local: true, cut car: true, new generate: false, Khoo: 1144.48 best obj: 1186.67(9) mean: 1290.44, max: 1485.77
Date: 07-19 at 12:56:47, iter: 161, fix: false, local: true, cut car: true, new generate: false, Khoo: 1144.48 best obj: 1186.67(9) mean: 1267.36, max: 1396.30
Date: 07-19 at 12:57:32, iter: 163, fix: false, local: true, cut car: true, new generate: false, Khoo: 1144.48 best obj: 1186.67(9) mean: 1387.53, max: 1598.59
Date: 07-19 at 12:58:19, iter: 164, fix: false, local: true, cut car: true, new generate: false, Khoo: 1144.48 best obj: 1186.67(9) mean: 1326.73, max: 1535.83
