Date: 08-02 at 03:14:56, #particle: 15, iter: 139, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 751.02(5), mean: 751.02, max: 751.02
Date: 08-02 at 03:15:41, #particle: 15, iter: 141, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 751.02(5), mean: 2916.57, max: 3764.56
Date: 08-02 at 03:16:31, #particle: 15, iter: 142, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 751.02(5), mean: 1578.01, max: 2450.34
Date: 08-02 at 03:17:19, #particle: 15, iter: 143, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 751.02(5), mean: 1078.08, max: 1662.35
Date: 08-02 at 03:18:06, #particle: 15, iter: 144, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 751.02(5), mean: 1077.06, max: 1638.77
Date: 08-02 at 03:18:53, #particle: 15, iter: 145, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 751.02(5), mean: 840.14, max: 1094.92
Date: 08-02 at 03:19:39, #particle: 15, iter: 146, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 751.02(5), mean: 809.95, max: 851.93
Date: 08-02 at 03:20:25, #particle: 15, iter: 147, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 751.02(5), mean: 797.09, max: 837.27
Date: 08-02 at 03:21:09, #particle: 15, iter: 148, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 751.02(5), mean: 792.17, max: 838.62
Date: 08-02 at 03:21:56, #particle: 15, iter: 149, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 751.02(5), mean: 785.49, max: 822.78
Date: 08-02 at 03:22:41, #particle: 15, iter: 151, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 751.02(5), mean: 2907.39, max: 3659.76
Date: 08-02 at 03:23:33, #particle: 15, iter: 152, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 751.02(5), mean: 2212.76, max: 3021.83
Date: 08-02 at 03:24:22, #particle: 15, iter: 153, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 751.02(5), mean: 1383.00, max: 2255.64
Date: 08-02 at 03:25:11, #particle: 15, iter: 154, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 751.02(5), mean: 1013.13, max: 1606.00
Date: 08-02 at 03:25:57, #particle: 15, iter: 155, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 751.02(5), mean: 855.03, max: 984.94
Date: 08-02 at 03:26:45, #particle: 15, iter: 156, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 751.02(5), mean: 824.66, max: 907.24
Date: 08-02 at 03:27:30, #particle: 15, iter: 157, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 751.02(5), mean: 825.41, max: 917.72
Date: 08-02 at 03:28:18, #particle: 15, iter: 158, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 751.02(5), mean: 821.90, max: 918.89
Date: 08-02 at 03:29:01, #particle: 15, iter: 159, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 751.02(5), mean: 770.15, max: 833.42
Date: 08-02 at 03:29:54, #particle: 15, iter: 161, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 751.02(5), mean: 3067.62, max: 3546.19
Date: 08-02 at 03:30:46, #particle: 15, iter: 162, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 751.02(5), mean: 1910.15, max: 2815.67
Date: 08-02 at 03:31:37, #particle: 15, iter: 163, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 751.02(5), mean: 1397.36, max: 2416.26
Date: 08-02 at 03:32:23, #particle: 15, iter: 164, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 751.02(5), mean: 830.32, max: 1044.19
Date: 08-02 at 03:33:12, #particle: 15, iter: 165, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 751.02(5), mean: 797.96, max: 829.72
Date: 08-02 at 03:33:58, #particle: 15, iter: 166, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 751.02(5), mean: 791.54, max: 827.05
Date: 08-02 at 03:34:45, #particle: 15, iter: 167, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 751.02(5), mean: 799.37, max: 835.89
Date: 08-02 at 03:35:31, #particle: 15, iter: 168, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 751.02(5), mean: 786.64, max: 822.72
Date: 08-02 at 03:36:19, #particle: 15, iter: 169, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 751.02(5), mean: 788.33, max: 831.62
Date: 08-02 at 03:37:08, #particle: 15, iter: 171, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 751.02(5), mean: 3266.40, max: 3898.00
Date: 08-02 at 03:38:01, #particle: 15, iter: 172, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 751.02(5), mean: 1372.57, max: 2612.64
