Date: 08-01 at 04:06:33, #particle: 15, iter: 95, fix: false, local: true, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1272.10(15), mean: 2056.58, max: 2813.41
Date: 08-01 at 04:07:53, #particle: 15, iter: 96, fix: false, local: true, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1272.10(15), mean: 1446.68, max: 1612.28
Date: 08-01 at 04:09:08, #particle: 15, iter: 97, fix: false, local: true, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1272.10(15), mean: 1457.17, max: 1628.85
Date: 08-01 at 04:10:25, #particle: 15, iter: 98, fix: false, local: true, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1272.10(15), mean: 1466.00, max: 1607.40
Date: 08-01 at 04:11:39, #particle: 15, iter: 99, fix: false, local: true, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1272.10(15), mean: 1367.68, max: 1456.78
Date: 08-01 at 04:12:54, #particle: 15, iter: 100, fix: false, local: true, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1272.10(15), mean: 1368.35, max: 1458.78
Date: 08-01 at 04:14:09, #particle: 15, iter: 102, fix: false, local: true, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1272.10(15), mean: 2463.90, max: 2934.54
Date: 08-01 at 04:15:26, #particle: 15, iter: 103, fix: false, local: true, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1272.10(15), mean: 2323.83, max: 2920.13
Date: 08-01 at 04:16:45, #particle: 15, iter: 104, fix: false, local: true, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1272.10(15), mean: 2162.70, max: 2873.33
Date: 08-01 at 04:18:04, #particle: 15, iter: 105, fix: false, local: true, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1272.10(15), mean: 1957.67, max: 2900.70
Date: 08-01 at 04:19:22, #particle: 15, iter: 106, fix: false, local: true, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1272.10(15), mean: 1623.60, max: 2407.14
Date: 08-01 at 04:20:39, #particle: 15, iter: 107, fix: false, local: true, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1272.10(15), mean: 1491.19, max: 2303.41
Date: 08-01 at 04:21:55, #particle: 15, iter: 108, fix: false, local: true, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1272.10(15), mean: 1475.56, max: 1653.05
Date: 08-01 at 04:23:09, #particle: 15, iter: 109, fix: false, local: true, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1272.10(15), mean: 1449.85, max: 1618.35
Date: 08-01 at 04:24:20, #particle: 15, iter: 110, fix: false, local: true, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1272.10(15), mean: 1396.61, max: 1537.98
Date: 08-01 at 04:25:35, #particle: 15, iter: 112, fix: false, local: true, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1272.10(15), mean: 2408.64, max: 2762.30
Date: 08-01 at 04:26:51, #particle: 15, iter: 113, fix: false, local: true, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1272.10(15), mean: 2114.13, max: 2675.52
Date: 08-01 at 04:28:05, #particle: 15, iter: 114, fix: false, local: true, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1272.10(15), mean: 1952.90, max: 2677.16
Date: 08-01 at 04:29:19, #particle: 15, iter: 115, fix: false, local: true, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1272.10(15), mean: 1749.41, max: 2625.31
Date: 08-01 at 04:30:32, #particle: 15, iter: 116, fix: false, local: true, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1272.10(15), mean: 1633.22, max: 2387.12
