Date: 08-05 at 14:47:14, #particle: 25, iter: 110, fix: false, local: false, cut car: true, new generate: true, Khoo: 1054.61, best obj: 1109.28(7), mean: 2415.65, max: 3554.12
Date: 08-05 at 14:48:12, #particle: 25, iter: 111, fix: false, local: false, cut car: true, new generate: true, Khoo: 1054.61, best obj: 1109.28(7), mean: 1689.07, max: 2651.18
Date: 08-05 at 14:49:18, #particle: 25, iter: 113, fix: false, local: false, cut car: true, new generate: true, Khoo: 1054.61, best obj: 1109.28(7), mean: 1510.03, max: 1888.01
Date: 08-05 at 14:50:28, #particle: 25, iter: 114, fix: false, local: false, cut car: true, new generate: true, Khoo: 1054.61, best obj: 1109.28(7), mean: 1507.79, max: 1929.19
Date: 08-05 at 14:51:28, #particle: 25, iter: 115, fix: false, local: false, cut car: true, new generate: true, Khoo: 1054.61, best obj: 1109.28(7), mean: 1348.49, max: 1943.37
Date: 08-05 at 14:52:27, #particle: 25, iter: 116, fix: false, local: false, cut car: true, new generate: true, Khoo: 1054.61, best obj: 1109.28(7), mean: 1250.14, max: 1365.49
Date: 08-05 at 14:53:30, #particle: 25, iter: 119, fix: false, local: false, cut car: true, new generate: true, Khoo: 1054.61, best obj: 1109.28(7), mean: 3894.68, max: 4533.94
Date: 08-05 at 14:54:51, #particle: 25, iter: 120, fix: false, local: false, cut car: true, new generate: true, Khoo: 1054.61, best obj: 1109.28(7), mean: 3666.49, max: 4534.47
Date: 08-05 at 14:56:07, #particle: 25, iter: 121, fix: false, local: false, cut car: true, new generate: true, Khoo: 1054.61, best obj: 1109.28(7), mean: 1525.33, max: 1682.42
Date: 08-05 at 14:57:07, #particle: 25, iter: 122, fix: false, local: false, cut car: true, new generate: true, Khoo: 1054.61, best obj: 1109.28(7), mean: 1585.03, max: 1700.95
Date: 08-05 at 14:58:09, #particle: 25, iter: 124, fix: false, local: false, cut car: true, new generate: true, Khoo: 1054.61, best obj: 1109.28(7), mean: 1683.52, max: 2130.10
Date: 08-05 at 14:59:20, #particle: 25, iter: 125, fix: false, local: false, cut car: true, new generate: true, Khoo: 1054.61, best obj: 1109.28(7), mean: 1617.52, max: 2079.76
Date: 08-05 at 15:00:21, #particle: 25, iter: 126, fix: false, local: false, cut car: true, new generate: true, Khoo: 1054.61, best obj: 1109.28(7), mean: 1452.70, max: 1928.27
Date: 08-05 at 15:01:25, #particle: 25, iter: 127, fix: false, local: false, cut car: true, new generate: true, Khoo: 1054.61, best obj: 1109.28(7), mean: 1295.56, max: 1499.99
Date: 08-05 at 15:02:23, #particle: 25, iter: 129, fix: false, local: false, cut car: true, new generate: true, Khoo: 1054.61, best obj: 1109.28(7), mean: 1480.54, max: 1855.54
Date: 08-05 at 15:03:27, #particle: 25, iter: 131, fix: false, local: false, cut car: true, new generate: true, Khoo: 1054.61, best obj: 1109.28(7), mean: 3872.80, max: 4849.85
Date: 08-05 at 15:04:48, #particle: 25, iter: 132, fix: false, local: false, cut car: true, new generate: true, Khoo: 1054.61, best obj: 1109.28(7), mean: 3617.28, max: 4843.61
Date: 08-05 at 15:06:07, #particle: 25, iter: 133, fix: false, local: false, cut car: true, new generate: true, Khoo: 1054.61, best obj: 1109.28(7), mean: 1534.15, max: 1839.26
Date: 08-05 at 15:07:13, #particle: 25, iter: 135, fix: false, local: false, cut car: true, new generate: true, Khoo: 1054.61, best obj: 1109.28(7), mean: 1740.08, max: 2127.70
Date: 08-05 at 15:08:09, #particle: 25, iter: 136, fix: false, local: false, cut car: true, new generate: true, Khoo: 1054.61, best obj: 1109.28(7), mean: 1603.82, max: 2070.92
