Date: 07-14 at 08:24:26, iter: 135, fix: false, local: false, cut car: true, new generate: true, Khoo: 1461.23 best obj: 1498.85(15) mean: 1563.72, max: 1848.41
Date: 07-14 at 08:25:18, iter: 136, fix: false, local: false, cut car: true, new generate: true, Khoo: 1461.23 best obj: 1498.85(15) mean: 1562.46, max: 1767.73
Date: 07-14 at 08:26:14, iter: 137, fix: false, local: false, cut car: true, new generate: true, Khoo: 1461.23 best obj: 1498.85(15) mean: 1541.42, max: 1671.12
Date: 07-14 at 08:27:14, iter: 139, fix: false, local: false, cut car: true, new generate: true, Khoo: 1461.23 best obj: 1498.85(15) mean: 1576.28, max: 1703.20
Date: 07-14 at 08:28:06, iter: 140, fix: false, local: false, cut car: true, new generate: true, Khoo: 1461.23 best obj: 1498.85(15) mean: 1572.14, max: 1726.95
Date: 07-14 at 08:29:01, iter: 141, fix: false, local: false, cut car: true, new generate: true, Khoo: 1461.23 best obj: 1498.85(15) mean: 1544.90, max: 1740.95
Date: 07-14 at 08:29:58, iter: 142, fix: false, local: false, cut car: true, new generate: true, Khoo: 1461.23 best obj: 1498.85(15) mean: 1543.56, max: 1767.86
Date: 07-14 at 08:30:51, iter: 144, fix: false, local: false, cut car: true, new generate: true, Khoo: 1461.23 best obj: 1498.85(15) mean: 1584.97, max: 1841.78
Date: 07-14 at 08:31:46, iter: 145, fix: false, local: false, cut car: true, new generate: true, Khoo: 1461.23 best obj: 1492.51(15) mean: 1537.91, max: 1676.59
Date: 07-14 at 08:32:39, iter: 146, fix: false, local: false, cut car: true, new generate: true, Khoo: 1461.23 best obj: 1492.51(15) mean: 1584.70, max: 1715.05
Date: 07-14 at 08:33:33, iter: 147, fix: false, local: false, cut car: true, new generate: true, Khoo: 1461.23 best obj: 1492.51(15) mean: 1554.25, max: 1786.72
Date: 07-14 at 08:34:26, iter: 148, fix: false, local: false, cut car: true, new generate: true, Khoo: 1461.23 best obj: 1492.51(15) mean: 1562.03, max: 1655.41
Date: 07-14 at 08:35:22, iter: 149, fix: false, local: false, cut car: true, new generate: true, Khoo: 1461.23 best obj: 1492.51(15) mean: 1566.15, max: 1727.32
Date: 07-14 at 08:36:17, iter: 151, fix: false, local: false, cut car: true, new generate: true, Khoo: 1461.23 best obj: 1492.51(15) mean: 1624.66, max: 1847.51
Date: 07-14 at 08:37:13, iter: 152, fix: false, local: false, cut car: true, new generate: true, Khoo: 1461.23 best obj: 1492.51(15) mean: 1546.34, max: 1592.94
Date: 07-14 at 08:38:11, iter: 153, fix: false, local: false, cut car: true, new generate: true, Khoo: 1461.23 best obj: 1492.51(15) mean: 1541.04, max: 1579.08
Date: 07-14 at 08:39:00, iter: 154, fix: false, local: false, cut car: true, new generate: true, Khoo: 1461.23 best obj: 1492.51(15) mean: 1567.01, max: 1632.92
Date: 07-14 at 08:39:55, iter: 156, fix: false, local: false, cut car: true, new generate: true, Khoo: 1461.23 best obj: 1492.51(15) mean: 1624.81, max: 1833.64
Date: 07-14 at 08:40:52, iter: 157, fix: false, local: false, cut car: true, new generate: true, Khoo: 1461.23 best obj: 1492.51(15) mean: 1577.21, max: 1807.13
Date: 07-14 at 08:41:43, iter: 158, fix: false, local: false, cut car: true, new generate: true, Khoo: 1461.23 best obj: 1492.51(15) mean: 1582.03, max: 1816.07
